,0
Atelectasis,0.7177934919027528
Cardiomegaly,0.8453928687892214
Effusion,0.8172597491793919
Infiltration,0.6457196780795781
Mass,0.777340877765146
Nodule,0.6647366068581979
Pneumonia,0.6809881967286259
Pneumothorax,0.7148753925991048
Consolidation,0.7662286030689995
Edema,0.805594085251568
Emphysema,0.6940571227220064
Fibrosis,0.7287953180418099
Pleural_Thickening,0.708434769892809
Hernia,0.8207681785818741
